STORE NAME,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,CENSUS TRACT,LATITUDE,LONGITUDE
LAKE VIEW FOODS INC,3100,B,4106 N SHERIDAN RD,60613,17031032100,41.9570402995,-87.6547628922
"LA LOMA ""CARNICERIA Y TAQUERIA""",4501,B,2535 N LARAMIE AVE,60639,17031190800,41.9270360931,-87.7561061830
LA MERCED INC,10001,A,4335 W 26TH ST,60623,17031301801,41.8440327965,-87.7324328647
"LA NUEVA IMAGEN GROCERY, INC.",3000,B,2459 S MILLARD AVE,60623,17031300600,41.8462971046,-87.7159164295
LA PERLA TAPATIA BAKERY,3000,B,4214 W NORTH AVE,60639,17031230500,41.9099197540,-87.7319712570
LA PLAMA,15000,A,4173 S ARCHER AVE,60632,17031580501,41.8175793077,-87.6983205863
L'APPETITO,2900,B,875 N MICHIGAN AVE,60611,17031081300,41.8989485417,-87.6239749877
LA PROVIDENCIA FOOD MART,2572,B,1658 W 21ST ST,60608,17031310800,41.8542193742,-87.6684581591
LARAMIE BAKERY & DELI,12331,A,3232 N HARLEM AVE,60634,17031170800,41.9389859689,-87.8069290648
"LATIN GROCERY & LIQUOR, INC",10001,A,3800 W NORTH AVE,60647,17031230400,41.9100494194,-87.7214580839
"LA UNICA FOOD MART, INC.",5000,B,1515 W DEVON AVE,60660,17031030200,41.9979934597,-87.6684278857
LAWNDALE FOOD MARKET,6000,B,3705 W 16TH ST,60623,17031292200,41.8588339683,-87.7178671863
Laxi Liquor,3200,B,6922 W GRAND AVE,60707,17031831600,41.9236807003,-87.7986761286
LEMEN SUN CORP.,3600,B,2832 S WENTWORTH AVE,60616,17031340400,41.8416044818,-87.6319155034
LINDO MICHOACAN,8600,B,3142 W LAWRENCE AVE,60625,17031140100,41.9685727721,-87.7077877013
LOGAN CERTIFIED FOODS CORP,4500,B,2857 W DIVERSEY AVE,60647,17031220400,41.9319704700,-87.6999316190
LORETO GROCERY,4499,B,4600 S FAIRFIELD AVE,60632,17031842800,41.8100014783,-87.6931813523
LOS CUATRO HERMANOS GROCERY,10001,A,1858 S ALLPORT ST,60608,17031310600,41.8562022212,-87.6577449724
LOS POTRILLOS,7000,B,3624 W BELMONT AVE,60618,17031831100,41.9393095160,-87.7185399405
LOS SAUCES GROCERY,2800,B,5852 W DIVERSEY AVE,60639,17031190402,41.9312882001,-87.7732414533
LOUIS' GROCERIES,,A,7604 S COTTAGE GROVE AVE,60619,17031691400,41.7565503100,-87.6054828500
LUCIANO'S GROCERY-18TH ST,6000,B,1714 W 18TH ST,60608,17031310800,41.8578565675,-87.6694195956
LUX 2 FOOD & LIQUOR,2500,B,7550 S MAY ST,60620,17031710200,41.7561626996,-87.6528196032
MACIAS PRODUCE INC.,7000,B,8933 S COMMERCIAL AVE,60617,17031833900,41.7327335949,-87.5511727836
MAKOLA AFRICAN SUPERMARKET #2,3500,B,4501 N SHERIDAN RD,60640,17031031502,41.9636502775,-87.6546221904
MANDY'S LIQUOR,3000,B,1957 W LAWRENCE AVE,60640,17031830800,41.9686561373,-87.6784384790
MARIANO'S FRESH MARKET #8507,,A,5353 N ELSTON AVE,60630,17031110100,41.9787102600,-87.7571537700
MARIO 'S BUTCHER SHOP FD CNTR,10001,A,5817 W MADISON ST,60644,17031252101,41.8800449808,-87.7704933793
MARKET IN THE PARK,5049,B,5050 S LAKE SHORE DR,60615,17031390700,41.8028797781,-87.5818436939
MA'S & PA'S GROCERY SNACK SHOP,4500,B,804 S CALIFORNIA AVE,60612,17031271800,41.8708776439,-87.6961668842
MAYFAIR MARKET PLACE,12000,A,4728 N PULASKI RD,60630,140500,41.9672666701,-87.7281470478
MAYFLOWER FOOD,6000,B,2104 S ARCHER AVE,60616,17031841100,41.8542653039,-87.6321895068
M & D VARIETY STORE,4500,B,1300 W 111TH ST,60643,17031750100,41.6923196266,-87.6546632113
MEHRAB ZABIHA MEAT & TOBACCO,3000,B,2445 W DEVON AVE,60659,17031020802,41.9975920168,-87.6916681219
MELISSA'S FOOD & LIQUORS INC,3500,B,3867 W GRAND AVE,60651,17031230700,41.9050594546,-87.7239513845
MIARA'S CONT'L PASTRY DELI INC,5000,B,7051 W ADDISON ST,60634,17031171000,41.9452338231,-87.8029266385
MICELI'S DELI & FOOD MART,4000,B,2448 S OAKLEY AVE,60608,17031841300,41.8470204640,-87.6831995522
MICHAELS FRESH MARKET,41000,A,1300 E 47TH ST,60653,17031390100,41.8097727266,-87.5949608909
MID TOWN FOODS,3520,B,3855 W DIVISION ST,60651,17031231200,41.9025838739,-87.7236192485
MI MEXICO GROCERY,2600,B,2601 W 59TH ST,60629,17031835000,41.7863763432,-87.6887765140
MINI MERCADO LA BETANIA,2640,B,2800 S TRIPP AVE,60623,17031301803,41.8403965367,-87.7306750125
M & J LIQUOR & GROCERY,2900,B,3654 W LAWRENCE AVE,60625,17031140301,41.9684345799,-87.7204810114
MLB FOOD,2500,B,613 E 67TH ST,60637,17031421200,41.7729559039,-87.6100578109
MOO & OINK INC,21500,A,4848 W MADISON ST,60644,17031251800,41.8805838854,-87.7470529414
"MORELIA SUPERMARKET #2, INC.",12000,A,4833 W DIVERSEY AVE,60639,17031190800,41.9314062910,-87.7479369735
"MORELIA SUPERMARKET, INC.",8000,B,7300 N WESTERN AVE,60645,17031020200,42.0141839829,-87.6903783498
MORGAN FOOD CORP LLC,3500,B,6600 S MORGAN ST,60621,17031681000,41.7741289538,-87.6496459973
MOROLEON FOODS #2 INC.,3025,B,4257 S ROCKWELL ST,60632,17031580700,41.8157711158,-87.6893858973
MORSE FOOD AND MEAT MARKET,17000,A,1430 W MORSE AVE,60626,17031010600,42.0079949199,-87.6671741467
MOUNSEF INTERNATIONAL,10001,A,4738 N KEDZIE AVE,60625,17031140701,41.9677930872,-87.7086027049
MR G'S FOOD & LIQUOR,3000,B,332 E 58TH ST,60637,17031400400,41.7894298575,-87.6178403398
MUNCHIES ON LARRABEE,2500,B,1012 N LARRABEE ST,60610,17031842200,41.9008485875,-87.6432555365
Municipal Foods,9980,B,2559 W DIVISION ST,60622,17031242500,41.9028592342,-87.6918885843
"MY RANCH, INC.",8500,B,4650 N SHERIDAN RD,60640,17031830700,41.9669775683,-87.6549446417
NANCE FOOD MART,4500,B,10935 S WENTWORTH AVE,60628,17031491000,41.6951531575,-87.6278202407
NANCY FOODS INC,2500,B,12315 S STATE ST,60628,17031530600,41.6702523999,-87.6222719562
NATIONAL FRUIT STOP,3000,B,3523 W LAWRENCE AVE,60625,17031140701,41.9682556374,-87.7168773813
Natural Country Deli,3500,B,6452 N MILWAUKEE AVE,60631,17031100200,41.9984929696,-87.7890953687
NAYAB MART,3125,B,2449 W DEVON AVE,60659,17031020802,41.9975891244,-87.6918369148
